frame,time_s,proxy_left_clearance_m,proxy_right_clearance_m,proxy_gripper_center_clearance_m,proxy_finger_span_clearance_m,actual_left_finger_box_clearance_m,actual_right_finger_box_clearance_m,actual_any_finger_box_clearance_m,actual_left_tip_box_clearance_m,actual_right_tip_box_clearance_m,rope_com_xy_displacement_m,rope_mid_mean_displacement_m
0,0.0,0.05229282337985933,0.07211862463317811,0.05479874420724809,0.05184087116084993,0.031484805047512054,0.06528934836387634,0.031484805047512054,0.031484805047512054,0.06528934836387634,0.0,0.0
1,0.033350000000000005,0.052282221203669904,0.07221341091953218,0.05482920963130891,0.0518346350248903,0.03144637122750282,0.06535761803388596,0.03144637122750282,0.03144637122750282,0.06535761803388596,0.0007854389841668308,0.0006022572051733732
2,0.06670000000000001,0.052344709223136304,0.07212796021066606,0.05480048019252717,0.051848411148414014,0.031522300094366074,0.0653013065457344,0.031522300094366074,0.031522300094366074,0.0653013065457344,0.0011374615132808685,0.0011449259473010898
3,0.10005000000000001,0.05243474203906953,0.07218984473310411,0.054827823823317884,0.05184911895357072,0.031612612307071686,0.06526744365692139,0.031612612307071686,0.031612612307071686,0.06526744365692139,0.0011772623984143138,0.001145362970419228
4,0.13340000000000002,0.05252571362815797,0.07238142151199281,0.05498461384139955,0.051968514507636426,0.03167306259274483,0.06552641093730927,0.03167306259274483,0.03167306259274483,0.06552641093730927,0.0011543607106432319,0.0009991329861804843
5,0.16675,0.05229596752487123,0.07231093901954591,0.054870858376845716,0.05183301079832017,0.03143053874373436,0.06551943719387054,0.03143053874373436,0.03143053874373436,0.06551943719387054,0.0011874568881466985,0.0010359673760831356
6,0.20010000000000003,0.052214182501658796,0.07232038635574281,0.054829634314402936,0.05175868380628526,0.03133384883403778,0.06553132086992264,0.03133384883403778,0.03133384883403778,0.06553132086992264,0.0012330528115853667,0.0010594630148261786
7,0.23345000000000005,0.05235201079212129,0.07247363734804094,0.054961010402068494,0.051863446420058607,0.031450457870960236,0.06565243005752563,0.031450457870960236,0.031450457870960236,0.06565243005752563,0.001237188116647303,0.0010662871645763516
8,0.26680000000000004,0.05237458605132997,0.07249300140701234,0.05497959960065782,0.051879942005500196,0.03147027641534805,0.06567241251468658,0.03147027641534805,0.03147027641534805,0.06567241251468658,0.0012289384612813592,0.0010844817152246833
9,0.30015000000000003,0.05229280847869813,0.07243539351783693,0.05492183524928987,0.051826804464682935,0.031393084675073624,0.06564894318580627,0.031393084675073624,0.031393084675073624,0.06564894318580627,0.0012354301288723946,0.0011000236263498664
10,0.3335,0.052309736197814344,0.07248824048601091,0.0549539696034044,0.051841266041621564,0.031398605555295944,0.06570224463939667,0.031398605555295944,0.031398605555295944,0.06570224463939667,0.0012463433668017387,0.0011177283013239503
11,0.36685000000000006,0.05233827937208116,0.072549052124843,0.05499364394508302,0.05186227667890489,0.03141521289944649,0.06575816124677658,0.03141521289944649,0.03141521289944649,0.06575816124677658,0.0012528144288808107,0.0011380495270714164
12,0.40020000000000006,0.05230371612869203,0.07254262972436845,0.054978280847892164,0.05184163857065141,0.03137783706188202,0.0657690092921257,0.03137783706188202,0.03137783706188202,0.0657690092921257,0.0012554234126582742,0.0011540338164195418
13,0.43355000000000005,0.0522902156766504,0.07255537021718919,0.05497884709201753,0.051833249216899274,0.03135927766561508,0.06579142063856125,0.03135927766561508,0.03135927766561508,0.06579142063856125,0.001257731462828815,0.0011679113376885653
14,0.4669000000000001,0.05230221111141145,0.07259599078260362,0.05500204819999635,0.05184176523052156,0.03136240690946579,0.06583239138126373,0.03136240690946579,0.03136240690946579,0.06583239138126373,0.0012601381167769432,0.0011836291523650289
15,0.5002500000000001,0.05229280847869813,0.0726134921964258,0.055007390266284345,0.05183774191699922,0.03134720399975777,0.06585685908794403,0.03134720399975777,0.03134720399975777,0.06585685908794403,0.0012629041448235512,0.0011956250527873635
16,0.5336000000000001,0.05227866727672517,0.07262065220437944,0.055005885249003766,0.05182998586259782,0.03132937476038933,0.06587270647287369,0.03132937476038933,0.03132937476038933,0.06587270647287369,0.0012648410629481077,0.0012053563259541988
17,0.5669500000000001,0.05227839905582368,0.07264240044914186,0.05501609999500215,0.05183085758052766,0.03132327273488045,0.0658978670835495,0.03132327273488045,0.03132327273488045,0.0658978670835495,0.001267528859898448,0.001216046279296279
