frame,time_s,proxy_left_clearance_m,proxy_right_clearance_m,proxy_gripper_center_clearance_m,proxy_finger_span_clearance_m,actual_left_finger_box_clearance_m,actual_right_finger_box_clearance_m,actual_any_finger_box_clearance_m,actual_left_tip_box_clearance_m,actual_right_tip_box_clearance_m,rope_com_xy_displacement_m,rope_mid_mean_displacement_m
10,0.3335,0.08840472210012376,0.10543268132768571,0.09558359492383897,0.08840472210012376,0.06500161439180374,0.09480653703212738,0.06500161439180374,0.06500161439180374,0.09480653703212738,0.0010593512561172247,0.000805951131042093
11,0.36685000000000006,0.0884537990745157,0.1053820918854326,0.09555115509591997,0.0884537990745157,0.0650712251663208,0.09477293491363525,0.0650712251663208,0.0650712251663208,0.09477293491363525,0.0011318756733089685,0.0008746019448153675
12,0.40020000000000006,0.08850841928087175,0.10533415484987199,0.09552106965146959,0.08850841928087175,0.06514620780944824,0.09473979473114014,0.06514620780944824,0.06514620780944824,0.09473979473114014,0.0012025815667584538,0.0009398837573826313
13,0.43355000000000005,0.08851643610559404,0.10528465319238603,0.09548950899206102,0.08851643610559404,0.06517866998910904,0.094708651304245,0.06517866998910904,0.06517866998910904,0.094708651304245,0.001270161010324955,0.0010076080216094851
14,0.4669000000000001,0.0886475439723581,0.10523880231939256,0.09546091366373002,0.0886475439723581,0.06531347334384918,0.09467180073261261,0.06531347334384918,0.06531347334384918,0.09467180073261261,0.0013250184711068869,0.0010696748504415154
15,0.5002500000000001,0.08873920846544206,0.10519080567918718,0.09543467271886766,0.08873920846544206,0.06541264057159424,0.09463789314031601,0.06541264057159424,0.06541264057159424,0.09463789314031601,0.0013752371305599809,0.001136182458139956
16,0.5336000000000001,0.08878602791391313,0.10514590848051011,0.09541024971567094,0.08878602791391313,0.06543692946434021,0.09460841119289398,0.06543692946434021,0.06543692946434021,0.09460841119289398,0.0014206916093826294,0.001201351871713996
17,0.5669500000000001,0.08882614929042756,0.10509403753839433,0.09538011956773698,0.08882614929042756,0.06547262519598007,0.09456522017717361,0.06547262519598007,0.06547262519598007,0.09456522017717361,0.0014596127439290285,0.0012712712632492185
18,0.6003000000000001,0.08885179418884218,0.10504316497407853,0.09535183716379106,0.08885179418884218,0.06550099700689316,0.09452582895755768,0.06550099700689316,0.06550099700689316,0.09452582895755768,0.001493280055001378,0.0013380794553086162
19,0.63365,0.08887182134948671,0.10499539185129106,0.09532647538743913,0.08887182134948671,0.06552011519670486,0.094490185379982,0.06552011519670486,0.06552011519670486,0.094490185379982,0.0015261006774380803,0.0014026096323505044
20,0.667,0.08888210315071046,0.10494995821081102,0.09530316997133195,0.08888210315071046,0.06553981453180313,0.0944589301943779,0.06553981453180313,0.06553981453180313,0.0944589301943779,0.0015599792823195457,0.001466144691221416
21,0.7003500000000001,0.08889471698366105,0.10490555275045335,0.09528123546205461,0.08889471698366105,0.06556349992752075,0.09442894160747528,0.06556349992752075,0.06556349992752075,0.09442894160747528,0.0015943801263347268,0.0015297746285796165
22,0.7337000000000001,0.08890826958976686,0.10486078966222703,0.09525837708078325,0.08890826958976686,0.06558772921562195,0.09439476579427719,0.06558772921562195,0.06558772921562195,0.09439476579427719,0.0016258263494819403,0.0015936157433316112
23,0.7670500000000001,0.08892155397497117,0.10481675673089921,0.09523629355989396,0.08892155397497117,0.06561111658811569,0.09436137974262238,0.06561111658811569,0.06561111658811569,0.09436137974262238,0.0016556979389861226,0.00165603740606457
24,0.8004000000000001,0.08890965539775789,0.10475035715661943,0.09519027877412736,0.08890965539775789,0.06561107933521271,0.0943092405796051,0.06561107933521271,0.06561107933521271,0.0943092405796051,0.0016856511356309056,0.0017178336856886744
25,0.8337500000000001,0.08663638640008867,0.10243850160203874,0.09276299882493913,0.08663638640008867,0.06347518414258957,0.09227312356233597,0.06347518414258957,0.06347518414258957,0.09227312356233597,0.001716273371130228,0.0017800485948100686
26,0.8671000000000001,0.08439238328300416,0.1001393716391176,0.09033485460840165,0.08439238328300416,0.06140219420194626,0.09026966989040375,0.06140219420194626,0.06140219420194626,0.09026966989040375,0.0017458706861361861,0.0018429221818223596
27,0.9004500000000001,0.08216248411498964,0.09785699058137834,0.08790993649326265,0.08216248411498964,0.059386223554611206,0.08831014484167099,0.059386223554611206,0.059386223554611206,0.08831014484167099,0.0017750088591128588,0.0019050155533477664
28,0.9338000000000002,0.07998093176446855,0.09559414494596422,0.08549110550247133,0.07998093176446855,0.05746603384613991,0.08640234172344208,0.05746603384613991,0.05746603384613991,0.08640234172344208,0.001810404472053051,0.0019662301056087017
29,0.9671500000000002,0.07779869396053254,0.09335070062242448,0.08307775068841874,0.07779869396053254,0.05560069531202316,0.08454088866710663,0.05560069531202316,0.05560069531202316,0.08454088866710663,0.001841037767007947,0.0020273246336728334
30,1.0005000000000002,0.07562242407165468,0.09112527180276811,0.08066853839717805,0.07562242407165468,0.053787123411893845,0.08272735029459,0.053787123411893845,0.053787123411893845,0.08272735029459,0.0018685576505959034,0.002089490881189704
31,1.0338500000000002,0.07346354383789003,0.08892349857650697,0.07826883304677903,0.07346354383789003,0.052020326256752014,0.08097599446773529,0.052020326256752014,0.052020326256752014,0.08097599446773529,0.0018944164039567113,0.002149986568838358
32,1.0672000000000001,0.0713385115917772,0.0867181565221399,0.07587794918380678,0.0713385115917772,0.05035935342311859,0.07928284257650375,0.05035935342311859,0.05035935342311859,0.07928284257650375,0.0019181027309969068,0.0022101104259490967
33,1.1005500000000001,0.06925015855394304,0.08448546338640153,0.07349666911922395,0.06925015855394304,0.04881639406085014,0.07757727056741714,0.04881639406085014,0.04881639406085014,0.07757727056741714,0.001941208029165864,0.0022691036574542522
34,1.1339000000000001,0.06720111477933824,0.08227694738470018,0.07112758565507829,0.06720111477933824,0.04740427806973457,0.07560549676418304,0.04740427806973457,0.04740427806973457,0.07560549676418304,0.0019642338156700134,0.0023267322685569525
35,1.1672500000000001,0.06519518751464784,0.08009434450231492,0.06877218890748918,0.06519518751464784,0.04613746702671051,0.07368703931570053,0.04613746702671051,0.04613746702671051,0.07368703931570053,0.0019878000020980835,0.002383033512160182
36,1.2006000000000001,0.06323685455881059,0.07793945032916963,0.06643151450715959,0.06323685455881059,0.04502926394343376,0.07182994484901428,0.04502926394343376,0.04502926394343376,0.07182994484901428,0.0020114025101065636,0.002437217626720667
37,1.23395,0.06132992315851152,0.07581455219350755,0.06410857993923127,0.06132992315851152,0.04409269988536835,0.07003588229417801,0.04409269988536835,0.04409269988536835,0.07003588229417801,0.0020349540282040834,0.0024901211727410555
38,1.2673,0.05947811115346849,0.07372088689170778,0.06180454004369676,0.05947811115346849,0.04334001615643501,0.06830883771181107,0.04334001615643501,0.04334001615643501,0.06830883771181107,0.0020579949487000704,0.0025420766323804855
39,1.30065,0.057685941046103834,0.07166080880723893,0.059521689599379896,0.057685941046103834,0.042782071977853775,0.06665374338626862,0.042782071977853775,0.042782071977853775,0.06665374338626862,0.002081310609355569,0.002593106823042035
40,1.334,0.055632441824302076,0.06963689584098756,0.05726262885890901,0.055632441824302076,0.0424274206161499,0.06507643312215805,0.0424274206161499,0.0424274206161499,0.06507643312215805,0.0021044970490038395,0.002643239451572299
41,1.3673500000000003,0.05356605309806764,0.0675298641975969,0.055029257720336316,0.05356605309806764,0.04228151589632034,0.06358262896537781,0.04228151589632034,0.04228151589632034,0.06358262896537781,0.00212754774838686,0.002692515030503273
42,1.4007000000000003,0.05154510546289384,0.06544229347072542,0.052823781555518506,0.05154510546289384,0.04163867235183716,0.062177158892154694,0.04163867235183716,0.04163867235183716,0.062177158892154694,0.0021502035669982433,0.002740945667028427
