frame,time_s,global_min_signed_distance_m,contact_box_name,ee_target_to_actual_error_m,actual_gripper_z_m,target_gripper_z_m,target_vz_m_s,actual_contact_box_vz_m_s,normal_speed_into_table_m_s,left_box_44,left_box_45,left_box_46,left_box_47,right_box_50,right_box_51,right_box_52,right_box_53
0,0.0,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
1,0.033350000000000005,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
2,0.06670000000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
3,0.10005000000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
4,0.13340000000000002,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
5,0.16675,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
6,0.20010000000000003,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
7,0.23345000000000005,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
8,0.26680000000000004,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
9,0.30015000000000003,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
10,0.3335,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
11,0.36685000000000006,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
12,0.40020000000000006,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
13,0.43355000000000005,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
14,0.4669000000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
15,0.5002500000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
16,0.5336000000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
17,0.5669500000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
18,0.6003000000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
19,0.63365,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
20,0.667,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
21,0.7003500000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
22,0.7337000000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
23,0.7670500000000001,0.06313623487949371,right_box_53,0.0,0.31863826513290405,0.31863826513290405,0.0,0.0,-0.0,0.0974506288766861,0.11422757804393768,0.07838968932628632,0.06406976282596588,0.09630285203456879,0.1133093386888504,0.07734869420528412,0.06313623487949371
24,0.8004000000000001,0.06311653554439545,right_box_53,3.8412063076975755e-06,0.3186150789260864,0.31861168146133423,-0.000797111657448113,-0.0006005145842209458,0.0006005145842209458,0.09742392599582672,0.11420141160488129,0.07836286723613739,0.06404383480548859,0.09628380835056305,0.11328931152820587,0.0773288756608963,0.06311653554439545
25,0.8337500000000001,0.06122786924242973,right_box_53,3.587044602681999e-06,0.31639575958251953,0.31639254093170166,-0.06654094904661179,-0.0575859509408474,0.0575859509408474,0.09486986696720123,0.11169929802417755,0.07580186426639557,0.061565082520246506,0.094455286860466,0.11136762797832489,0.07542581856250763,0.06122786924242973
26,0.8671000000000001,0.05904487892985344,left_box_47,3.832918991975021e-06,0.31417009234428406,0.31416669487953186,-0.06674201041460037,-0.07528325915336609,0.07528325915336609,0.0922732800245285,0.10916896164417267,0.073238804936409,0.05904487892985344,0.0925753265619278,0.1094105988740921,0.0735127180814743,0.05929053947329521
27,0.9004500000000001,0.056470971554517746,left_box_47,3.801702177952393e-06,0.3119387626647949,0.3119353950023651,-0.06690555065870285,-0.07525287568569183,0.07525287568569183,0.08962209522724152,0.10660378634929657,0.0706748515367508,0.056470971554517746,0.09063093364238739,0.10741086304187775,0.07158981263637543,0.05729148909449577
28,0.9338000000000002,0.05389813706278801,left_box_47,3.776496896534809e-06,0.3097022771835327,0.3096989691257477,-0.06705924868583679,-0.07519747316837311,0.07519747316837311,0.08697055280208588,0.10403592884540558,0.06811095774173737,0.05389813706278801,0.0886753648519516,0.10539980232715607,0.06965713202953339,0.05528471991419792
29,0.9671500000000002,0.05132756754755974,left_box_47,3.7482641346286982e-06,0.30746132135391235,0.30745798349380493,-0.06719597429037094,-0.07510989159345627,0.07510989159345627,0.08431993424892426,0.10146655142307281,0.065548375248909,0.05132756754755974,0.08670897781848907,0.10337777435779572,0.06771509349346161,0.05327067896723747
30,1.0005000000000002,0.048760127276182175,left_box_47,3.838680186163401e-06,0.30521631240844727,0.30521291494369507,-0.0673184022307396,-0.07499998062849045,0.07499998062849045,0.08167122304439545,0.09889645874500275,0.0629877895116806,0.048760127276182175,0.08473183214664459,0.10134492814540863,0.06576360762119293,0.0512494258582592
31,1.0338500000000002,0.04619675502181053,left_box_47,3.779392727665254e-06,0.3029678165912628,0.302964448928833,-0.06742027401924133,-0.07486414909362793,0.07486414909362793,0.07902543246746063,0.09632666409015656,0.060430269688367844,0.04619675502181053,0.08274419605731964,0.09930168092250824,0.06380297243595123,0.049221333116292953
32,1.0672000000000001,0.04363850876688957,left_box_47,3.911547537427396e-06,0.3007164001464844,0.3007129430770874,-0.0675114244222641,-0.07469972223043442,0.07469972223043442,0.07638378441333771,0.09375827014446259,0.05787680670619011,0.04363850876688957,0.08074621856212616,0.09724821150302887,0.061833273619413376,0.04718659445643425
33,1.1005500000000001,0.041086357086896896,left_box_47,3.831917183561018e-06,0.2984626889228821,0.29845932126045227,-0.0675748735666275,-0.0745093822479248,0.0745093822479248,0.07374735176563263,0.09119220077991486,0.05532835051417351,0.041086357086896896,0.07873828709125519,0.09518493711948395,0.05985487625002861,0.04514564201235771
34,1.1339000000000001,0.038541074842214584,left_box_47,3.834164544969099e-06,0.296207070350647,0.2962036728858948,-0.06763564050197601,-0.07429848611354828,0.07429848611354828,0.07111696898937225,0.08862929046154022,0.05278576537966728,0.038541074842214584,0.07672052085399628,0.09311215579509735,0.0578678660094738,0.04309862479567528
35,1.1672500000000001,0.036003660410642624,left_box_47,3.919223217963008e-06,0.2939501404762268,0.2939467430114746,-0.06767406314611435,-0.07406078279018402,0.07406078279018402,0.0684937983751297,0.08607055246829987,0.05024994537234306,0.036003660410642624,0.0746932178735733,0.0910300761461258,0.05587245151400566,0.04104582592844963
36,1.2006000000000001,0.03347479924559593,left_box_47,3.834466042462736e-06,0.291692316532135,0.2916889190673828,-0.06770087033510208,-0.07380520552396774,0.07380520552396774,0.06587864458560944,0.08351670205593109,0.04772162064909935,0.03347479924559593,0.07265658676624298,0.08893905580043793,0.05386881157755852,0.038987528532743454
37,1.23395,0.03095550462603569,left_box_47,3.869721240334911e-06,0.2894342541694641,0.2894308567047119,-0.06770802289247513,-0.07352147996425629,0.07352147996425629,0.06327258050441742,0.08096884191036224,0.04520181939005852,0.03095550462603569,0.07061095535755157,0.08683954179286957,0.05185730382800102,0.03692406043410301
38,1.2673,0.028446342796087265,left_box_47,3.852951522276271e-06,0.2871761620044708,0.2871728539466858,-0.06770623475313187,-0.07322479784488678,0.07322479784488678,0.06067628785967827,0.07842753827571869,0.04269104823470116,0.028446342796087265,0.06855635344982147,0.08473159372806549,0.04983782395720482,0.03485546633601189
39,1.30065,0.025948192924261093,left_box_47,3.908111921191448e-06,0.28491872549057007,0.28491532802581787,-0.06769193708896637,-0.07290354371070862,0.07290354371070862,0.05809081718325615,0.07589371502399445,0.04019027575850487,0.025948192924261093,0.06649331748485565,0.0826156884431839,0.04781084880232811,0.03278222307562828
40,1.334,0.02346208319067955,left_box_47,3.877381459460594e-06,0.28266260027885437,0.28265926241874695,-0.06764815002679825,-0.0725545808672905,0.0725545808672905,0.055517178028821945,0.07336841523647308,0.03770047053694725,0.02346208319067955,0.06442223489284515,0.08049245178699493,0.04577681049704552,0.03070485219359398
41,1.3673500000000003,0.02098814770579338,left_box_47,3.947488039557356e-06,0.28040772676467896,0.28040432929992676,-0.06761419028043747,-0.07220382988452911,0.07220382988452911,0.05295569822192192,0.0708518773317337,0.03522176668047905,0.02098814770579338,0.062342893332242966,0.0783616155385971,0.04373542591929436,0.028623055666685104
42,1.4007000000000003,0.018527280539274216,left_box_47,3.827062755590305e-06,0.27815482020378113,0.2781515419483185,-0.06754984706640244,-0.07182896137237549,0.07182896137237549,0.05040736123919487,0.06834511458873749,0.03275511786341667,0.018527280539274216,0.06025586649775505,0.07622389495372772,0.04168712720274925,0.02653738483786583
43,1.4340500000000003,0.016080286353826523,left_box_47,3.961187303502811e-06,0.2759043872356415,0.2759009897708893,-0.0674828290939331,-0.07143263518810272,0.07143263518810272,0.04787309095263481,0.06584890186786652,0.030301328748464584,0.016080286353826523,0.05816153809428215,0.07407964766025543,0.03963236138224602,0.024448227137327194
