frame,time_s,shape_index,side,clearance_to_table_top_m,center_x_m,center_y_m,center_z_m
18,0.6003000000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
18,0.6003000000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
19,0.63365,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
19,0.63365,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
19,0.63365,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
19,0.63365,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
19,0.63365,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
19,0.63365,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
19,0.63365,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
19,0.63365,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
20,0.667,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
20,0.667,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
20,0.667,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
20,0.667,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
20,0.667,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
20,0.667,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
20,0.667,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
20,0.667,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
21,0.7003500000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
21,0.7003500000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
21,0.7003500000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
21,0.7003500000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
21,0.7003500000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
21,0.7003500000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
21,0.7003500000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
21,0.7003500000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
22,0.7337000000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
22,0.7337000000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
22,0.7337000000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
22,0.7337000000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
22,0.7337000000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
22,0.7337000000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
22,0.7337000000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
22,0.7337000000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
23,0.7670500000000001,44,left,0.16424323618412018,0.020671268925070763,-0.24662798643112183,0.37502995133399963
23,0.7670500000000001,45,left,0.18102018535137177,0.009818506427109241,-0.24199506640434265,0.3836950361728668
23,0.7670500000000001,46,left,0.1451822966337204,0.017989546060562134,-0.2468758076429367,0.35769417881965637
23,0.7670500000000001,47,left,0.13086237013339996,0.009948153048753738,-0.2451135516166687,0.3407512307167053
23,0.7670500000000001,50,right,0.16309545934200287,-0.08908708393573761,-0.20612144470214844,0.3738821744918823
23,0.7670500000000001,51,right,0.18010194599628448,-0.07798817753791809,-0.20958983898162842,0.38277679681777954
23,0.7670500000000001,52,right,0.1441413015127182,-0.08689066022634506,-0.20816956460475922,0.3565973937511444
23,0.7670500000000001,53,right,0.1299288421869278,-0.0793219804763794,-0.21216823160648346,0.33981770277023315
24,0.8004000000000001,44,left,0.16421647369861603,0.02066620998084545,-0.24662786722183228,0.3750028908252716
24,0.8004000000000001,45,left,0.1809939593076706,0.00981502328068018,-0.24199268221855164,0.3836687207221985
24,0.8004000000000001,46,left,0.1451554149389267,0.017983263358473778,-0.24687503278255463,0.3576672673225403
24,0.8004000000000001,47,left,0.1308363825082779,0.00994110107421875,-0.24511095881462097,0.340724915266037
24,0.8004000000000001,50,right,0.16307635605335236,-0.08908355981111526,-0.20609787106513977,0.37386277318000793
24,0.8004000000000001,51,right,0.18008185923099518,-0.07798478752374649,-0.20956867933273315,0.38275662064552307
24,0.8004000000000001,52,right,0.1441214233636856,-0.08688873797655106,-0.2081463634967804,0.3565778434276581
24,0.8004000000000001,53,right,0.12990908324718475,-0.07932204008102417,-0.2121465504169464,0.33979761600494385
25,0.8337500000000001,44,left,0.16166247427463531,0.02016500197350979,-0.24659451842308044,0.3724217712879181
25,0.8337500000000001,45,left,0.17849190533161163,0.009466391056776047,-0.24174444377422333,0.3811594247817993
25,0.8337500000000001,46,left,0.14259447157382965,0.01736593246459961,-0.2467774599790573,0.3551037609577179
25,0.8337500000000001,47,left,0.1283576935529709,0.009252306073904037,-0.2448408156633377,0.3382143974304199
25,0.8337500000000001,50,right,0.16124789416790009,-0.08874286711215973,-0.20384061336517334,0.37200719118118286
25,0.8337500000000001,51,right,0.17816023528575897,-0.07765990495681763,-0.2075413167476654,0.38082775473594666
25,0.8337500000000001,52,right,0.1422184258699417,-0.08670158684253693,-0.20592372119426727,0.3547075688838959
25,0.8337500000000001,53,right,0.1280204802751541,-0.0793260931968689,-0.21006764471530914,0.33787718415260315
26,0.8671000000000001,44,left,0.15906588733196259,0.01961137168109417,-0.24654266238212585,0.3698393404483795
26,0.8671000000000001,45,left,0.17596156895160675,0.009070031344890594,-0.2414802461862564,0.37864741683006287
26,0.8671000000000001,46,left,0.14003141224384308,0.016697455197572708,-0.2466612309217453,0.35253971815109253
26,0.8671000000000001,47,left,0.12583748996257782,0.00851598009467125,-0.24455298483371735,0.33570370078086853
26,0.8671000000000001,50,right,0.15936793386936188,-0.08840660005807877,-0.20158687233924866,0.3701413869857788
26,0.8671000000000001,51,right,0.17620320618152618,-0.07734434306621552,-0.20551560819149017,0.3788890540599823
26,0.8671000000000001,52,right,0.1403053253889084,-0.08651971817016602,-0.20370347797870636,0.35282832384109497
26,0.8671000000000001,53,right,0.1260831505060196,-0.07933863252401352,-0.2079889327287674,0.3359493613243103
27,0.9004500000000001,44,left,0.15641476213932037,0.019006235525012016,-0.24647153913974762,0.36725687980651855
27,0.9004500000000001,45,left,0.17339645326137543,0.00862676277756691,-0.24119937419891357,0.37613385915756226
27,0.9004500000000001,46,left,0.13746751844882965,0.015978798270225525,-0.2465255856513977,0.34997645020484924
27,0.9004500000000001,47,left,0.1232636421918869,0.0077331033535301685,-0.244246706366539,0.3331940770149231
27,0.9004500000000001,50,right,0.15742360055446625,-0.08807449787855148,-0.1993367224931717,0.36826571822166443
27,0.9004500000000001,51,right,0.1742035299539566,-0.07703782618045807,-0.20349152386188507,0.37694093585014343
27,0.9004500000000001,52,right,0.13838247954845428,-0.08634279668331146,-0.20148566365242004,0.35094043612480164
27,0.9004500000000001,53,right,0.12408415973186493,-0.07935922592878342,-0.20591038465499878,0.3340145945549011
28,0.9338000000000002,44,left,0.15376316010951996,0.018350504338741302,-0.2463807910680771,0.3646751940250397
28,0.9338000000000002,45,left,0.17082853615283966,0.008137397468090057,-0.24090157449245453,0.3736194968223572
28,0.9338000000000002,46,left,0.13490356504917145,0.015210888348519802,-0.24637019634246826,0.34741467237472534
28,0.9338000000000002,47,left,0.12069074809551239,0.00690458994358778,-0.24392171204090118,0.33068618178367615
28,0.9338000000000002,50,right,0.15546797215938568,-0.08774642646312714,-0.1970905214548111,0.3663800060749054
