frame,time_s,proxy_left_clearance_m,proxy_right_clearance_m,proxy_gripper_center_clearance_m,proxy_finger_span_clearance_m,actual_left_finger_box_clearance_m,actual_right_finger_box_clearance_m,actual_any_finger_box_clearance_m,actual_left_tip_box_clearance_m,actual_right_tip_box_clearance_m,rope_com_xy_displacement_m,rope_mid_mean_displacement_m
0,0.0,0.07307069358229637,0.09183113631606102,0.08201769348978996,0.07307069358229637,0.050156500190496445,0.07585370540618896,0.050156500190496445,0.050156500190496445,0.07585370540618896,0.0,0.0
1,0.033350000000000005,0.07334220764040947,0.09181729313731193,0.08206788060069084,0.07334220764040947,0.05042300000786781,0.07582996785640717,0.05042300000786781,0.05042300000786781,0.07582996785640717,4.780732706421986e-05,0.00024509374634362757
2,0.06670000000000001,0.07368347403407097,0.09180693683028221,0.08212203142046928,0.07368347403407097,0.05075525864958763,0.07583661377429962,0.05075525864958763,0.05075525864958763,0.07583661377429962,0.0001998457155423239,0.00042738637421280146
3,0.10005000000000001,0.07379423436522484,0.09186222013831138,0.08218241092562675,0.07379423436522484,0.050858449190855026,0.07593174278736115,0.050858449190855026,0.050858449190855026,0.07593174278736115,0.00039120003930293024,0.0005215274286456406
4,0.13340000000000002,0.07366800662875175,0.0919743364751339,0.0822847521007061,0.07366800662875175,0.050744812935590744,0.07607367634773254,0.050744812935590744,0.050744812935590744,0.07607367634773254,0.00048226965009234846,0.0006366471643559635
5,0.16675,0.07344837841391563,0.09205830451846123,0.08235827443003654,0.07344837841391563,0.050548065453767776,0.07616513967514038,0.050548065453767776,0.050548065453767776,0.07616513967514038,0.0004767464124597609,0.0007598020602017641
6,0.20010000000000003,0.0733537709414959,0.09210817870497703,0.08233736810088157,0.0733537709414959,0.0504688136279583,0.07621291279792786,0.0504688136279583,0.0504688136279583,0.07621291279792786,0.000481794704683125,0.0008732734713703394
7,0.23345000000000005,0.07332545873522758,0.09215198811888695,0.08231711742281914,0.07332545873522758,0.05044921115040779,0.07626800239086151,0.05044921115040779,0.05044921115040779,0.07626800239086151,0.0005062565323896706,0.0009673608001321554
8,0.26680000000000004,0.07329598423838615,0.09219688531756401,0.08228884992003441,0.07329598423838615,0.05042817071080208,0.07632403075695038,0.05042817071080208,0.05042817071080208,0.07632403075695038,0.0005129646742716432,0.0010551995364949107
9,0.30015000000000003,0.07329444941878319,0.09222917613387108,0.0822811013162136,0.07329444941878319,0.050432998687028885,0.07636173069477081,0.050432998687028885,0.050432998687028885,0.07636173069477081,0.0005192514508962631,0.0011349017731845379
10,0.3335,0.0733309870660305,0.09225233253836632,0.08232449349761009,0.0733309870660305,0.05047258362174034,0.07639417052268982,0.05047258362174034,0.05047258362174034,0.07639417052268982,0.0005304886726662517,0.0012162026250734925
11,0.36685000000000006,0.0733941977918148,0.0922768449485302,0.08239212986826897,0.0733941977918148,0.050536174327135086,0.07642829418182373,0.050536174327135086,0.050536174327135086,0.07642829418182373,0.0005382205126807094,0.0012922771275043488
12,0.40020000000000006,0.07349562999606132,0.09228526410460472,0.08251296338438988,0.07349562999606132,0.05063493177294731,0.07644614577293396,0.05063493177294731,0.05063493177294731,0.07644614577293396,0.0005451046745292842,0.0013630753383040428
13,0.43355000000000005,0.07367310282588005,0.09227893111109733,0.08264026400446892,0.07367310282588005,0.05080333724617958,0.07644274830818176,0.05080333724617958,0.05080333724617958,0.07644274830818176,0.0005529834306798875,0.0014349474804475904
14,0.4669000000000001,0.07395129260420799,0.09224841353297233,0.08264406380057335,0.07395129260420799,0.05106266215443611,0.07641509175300598,0.05106266215443611,0.05106266215443611,0.07641509175300598,0.0005482366541400552,0.0014972997596487403
15,0.5002500000000001,0.07431792077422142,0.09223606047034263,0.08266850170493126,0.07431792077422142,0.05140453204512596,0.07641333341598511,0.05140453204512596,0.05140453204512596,0.07641333341598511,0.0005244191270321608,0.0015663489466533065
16,0.5336000000000001,0.0747321283519268,0.09222397562861442,0.08269442972540855,0.0747321283519268,0.051790278404951096,0.07640889286994934,0.051790278404951096,0.051790278404951096,0.07640889286994934,0.000513661012519151,0.001639777678065002
17,0.5669500000000001,0.07508336362242699,0.09223302063345909,0.08273491618037224,0.07508336362242699,0.05211847648024559,0.07641234993934631,0.05211847648024559,0.05211847648024559,0.07641234993934631,0.0005150670767761767,0.0017120077973231673
18,0.6003000000000001,0.07536055502295494,0.09225039538741112,0.08277406153082847,0.07536055502295494,0.052378665655851364,0.07642215490341187,0.052378665655851364,0.052378665655851364,0.07642215490341187,0.0005292532732710242,0.001784025109373033
19,0.63365,0.07555482146143913,0.09228465315699577,0.08281641063094139,0.07555482146143913,0.05256189778447151,0.07643431425094604,0.05256189778447151,0.05256189778447151,0.07643431425094604,0.0005537272663787007,0.001849949941970408
